City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,chernyshevskiy,63.0128,112.4714,225.62,100,67,0.4,RU,1675632900
272,namtsy,62.7161,129.6658,239.37,99,100,1.4,RU,1675632900
273,aswan,24.0934,32.907,288.76,25,0,0.0,EG,1675632901
274,chunskiy,56.0815,99.6342,246.56,100,100,0.5,RU,1675632901
275,roma,43.2128,-75.4557,278.92,49,40,4.12,US,1675632904
276,tura,25.5198,90.2201,286.73,51,1,1.01,IN,1675632904
277,manta,-0.95,-80.7333,301.03,78,75,5.14,EC,1675632609
278,turukhansk,65.8167,87.9833,254.24,100,95,1.08,RU,1675632908
279,chikhli,20.35,76.25,293.05,29,1,1.06,IN,1675632909
280,el alto,-4.2714,-81.2147,301.96,66,16,4.87,PE,1675632910
281,abay,49.6311,72.8539,261.36,97,100,1.83,KZ,1675632911
282,gornopravdinsk,60.05,69.9,252.49,100,100,0.99,RU,1675632912
283,arroio grande,-32.2375,-53.0869,296.1,72,46,3.37,BR,1675632913
284,orlik,52.5178,99.825,250.62,99,98,0.7,RU,1675632914
285,maragogi,-9.0122,-35.2225,299.39,81,18,3.39,BR,1675632915
286,gidole,5.65,37.3667,289.49,31,36,0.99,ET,1675632916
287,medea,36.2642,2.7539,276.57,92,26,0.96,DZ,1675632917
288,asosa,10.0667,34.5333,293.8,28,58,1.7,ET,1675632918
289,horsham,51.064,-0.3272,277.18,87,0,1.03,GB,1675632920
290,nyaunglebin,17.95,96.7333,293.21,72,68,1.42,MM,1675632922
291,hofn,64.2539,-15.2082,281.27,96,100,16.24,IS,1675632923
292,rio grande,-32.035,-52.0986,299.21,74,9,4.68,BR,1675632924
293,coihaique,-45.5752,-72.0662,294.12,37,20,3.6,CL,1675632924
294,teknaf,20.8624,92.3058,290.28,56,54,3.71,BD,1675632927
295,puro,12.4841,123.3827,297.66,87,60,3.56,PH,1675632928
296,ambon,-3.6954,128.1814,299.23,89,75,1.54,ID,1675632929
297,camacha,33.0833,-16.3333,287.83,67,40,6.17,PT,1675632929
298,port-gentil,-0.7193,8.7815,299.13,89,20,0.51,GA,1675632930
299,rio gallegos,-51.6226,-69.2181,290.18,31,75,14.4,AR,1675632930
300,boyolangu,-8.1181,111.8935,297.49,80,100,1.21,ID,1675632932
301,ahuimanu,21.4447,-157.8378,299.99,76,43,4.47,US,1675632933
302,ayan,56.45,138.1667,249.65,81,88,3.42,RU,1675632933
303,yumen,40.2833,97.2,270.19,39,66,3.69,CN,1675632934
304,anadyr,64.75,177.4833,241.43,75,75,5.0,RU,1675632935
305,gravdal,68.1214,13.5031,276.09,75,75,2.06,NO,1675632935
306,mesagne,40.5588,17.8083,277.85,52,75,11.83,IT,1675632936
307,mandiana,10.6333,-8.6833,301.18,17,89,1.43,GN,1675632936
